"filename", "language", "C#", "Markdown", "comment", "blank", "total"
"c:\Dev\Projects\Momentum\Assets\Scripts\HitboxManager.cs", "C#", 257, 0, 24, 100, 381
"c:\Dev\Projects\Momentum\Assets\Scripts\InputActions.cs", "C#", 396, 0, 212, 22, 630
"c:\Dev\Projects\Momentum\Assets\Scripts\InputDriver.cs", "C#", 244, 0, 19, 91, 354
"c:\Dev\Projects\Momentum\Assets\Scripts\Intent.cs", "C#", 162, 0, 13, 59, 234
"c:\Dev\Projects\Momentum\Assets\Scripts\Inventory.cs", "C#", 47, 0, 6, 13, 66
"c:\Dev\Projects\Momentum\Assets\Scripts\MovementCommands.cs", "C#", 122, 0, 78, 69, 269
"c:\Dev\Projects\Momentum\Assets\Scripts\MovementModifiers.cs", "C#", 101, 0, 16, 48, 165
"c:\Dev\Projects\Momentum\Assets\Scripts\Orientation.cs", "C#", 167, 0, 3, 24, 194
"c:\Dev\Projects\Momentum\Assets\Scripts\Predicates.cs", "C#", 105, 0, 13, 49, 167
"c:\Dev\Projects\Momentum\Assets\Scripts\Service.cs", "C#", 32, 0, 9, 18, 59
"c:\Dev\Projects\Momentum\Assets\Scripts\Services.cs", "C#", 252, 0, 14, 76, 342
"c:\Dev\Projects\Momentum\Assets\Scripts\Spawner.cs", "C#", 274, 0, 24, 98, 396
"c:\Dev\Projects\Momentum\Assets\Scripts\SpawnerService.cs", "C#", 101, 0, 15, 45, 161
"c:\Dev\Projects\Momentum\Assets\Scripts\SpriteDepthSorting.cs", "C#", 194, 0, 9, 52, 255
"c:\Dev\Projects\Momentum\Assets\Scripts\State.cs", "C#", 8, 0, 0, 5, 13
"c:\Dev\Projects\Momentum\Assets\Scripts\Stats.cs", "C#", 133, 0, 13, 52, 198
"c:\Dev\Projects\Momentum\Assets\Scripts\TeleportService.cs", "C#", 76, 0, 8, 32, 116
"c:\Dev\Projects\Momentum\Assets\Scripts\TriggerCoordinator.cs", "C#", 48, 0, 11, 20, 79
"c:\Dev\Projects\Momentum\Assets\Scripts\TriggerLocks.cs", "C#", 90, 0, 11, 36, 137
"c:\Dev\Projects\Momentum\Assets\Scripts\Weapon.cs", "C#", 214, 0, 110, 81, 405
"c:\Dev\Projects\Momentum\Assets\Scripts\WeaponSystem.cs", "C#", 928, 0, 101, 290, 1319
"c:\Dev\Projects\Momentum\Assets\Scripts\WorldPosition.cs", "C#", 41, 0, 4, 15, 60
"c:\Dev\Projects\Momentum\Assets\System\Definitions\IsExternalInit.cs", "C#", 4, 0, 0, 1, 5
"c:\Dev\Projects\Momentum\Assets\System\Editor\AsepriteImporter.cs", "C#", 130, 0, 11, 34, 175
"c:\Dev\Projects\Momentum\Assets\System\Template\Folder\Entity\Scripts\ScriptTemplate.cs", "C#", 0, 0, 176, 80, 256
"c:\Dev\Projects\Momentum\notes.md", "Markdown", 0, 17, 0, 18, 35
"Total", "-", 10449, 17, 1667, 3551, 15684
